'CUSTOMERID',TRANSACTIONDATE,'EMPLOYEEID','AMOUNT','DESCRIPTION','REFERENCE'
3245,'1997-02-25',87295,-453.72,'Monthly payment #3',3363
3245,'1997-03-14',15293,-453.72,'Monthly payment #4',3363
3246,'1996-09-25',51512,-909.5,'Monthly payment #2',3364
3246,'1996-06-13',87295,1819,'Order was shipped',3364
3246,'1996-08-31',98766,-909.5,'Monthly payment #1',3364
3247,'1996-09-25',87295,1804.69,'Order was shipped',3365
3247,'1996-11-05',51512,-1804.69,'Single/final payment for purchase',3365
3248,'1996-11-06',51512,3322.8,'Order was shipped',3366
3248,'1996-12-19',51512,-3322.8,'Single/final payment for purchase',3366
3249,'1996-07-08',15293,1760.5,'Order was shipped',3367
3249,'1996-08-26',51512,-1760.5,'Single/final payment for purchase',3367
3250,'2001-12-16',98766,-3083.5,'Single/final payment for purchase',19773
3250,'2001-11-14',15293,3083.5,'Order was shipped',19773
3250,'1996-06-15',51512,-1792,'Single/final payment for purchase',3368
3250,'1996-05-04',87295,1792,'Order was shipped',3368
3251,'1999-07-04',29387,-378.76,'Monthly payment #7',8385
3251,'1996-12-27',29387,2322.25,'Order was shipped',3369
3251,'1999-08-08',29387,-378.77,'Monthly payment #8',8385
3251,'1999-06-03',87295,-378.76,'Monthly payment #6',8385
3251,'1999-03-30',15293,-378.76,'Monthly payment #5',8385
3251,'1999-02-26',98766,-378.76,'Monthly payment #4',8385
3251,'1999-01-12',34192,-378.76,'Monthly payment #2',8385
3251,'1998-12-12',51512,-378.76,'Monthly payment #1',8385
3251,'1998-09-20',89097,3030.1,'Order was shipped',8385
3251,'1997-02-07',51512,-2322.26,'Single/final payment for purchase',3369
3251,'1999-01-31',51512,-378.76,'Monthly payment #3',8385
3252,'1996-06-14',29387,2311.53,'Order was shipped',3370
3252,'1996-07-30',51512,-2311.52,'Single/final payment for purchase',3370
3253,'1996-07-28',89097,2263.89,'Order was shipped',3371
3253,'1996-09-08',51512,-2263.88,'Single/final payment for purchase',3371
3254,'1996-06-18',34192,-271.67,'Monthly payment #1',3372
3254,'1996-07-10',98766,-271.67,'Monthly payment #2',3372
3254,'1996-08-08',34192,-271.67,'Monthly payment #3',3372
3254,'1996-09-05',87295,-271.67,'Monthly payment #4',3372
3254,'1996-10-14',51512,-271.67,'Monthly payment #5',3372
3254,'1996-11-14',34192,-271.6499,'Monthly payment #6',3372
3254,'1996-03-29',87295,1630,'Order was shipped',3372
3255,'1996-09-22',29387,1813,'Order was shipped',3373
3255,'1996-11-05',34192,-1813,'Single/final payment for purchase',3373
3256,'1997-02-04',34192,-1771,'Single/final payment for purchase',3374
3256,'1996-12-31',87295,1771,'Order was shipped',3374
3257,'1997-04-26',51512,-460.04,'Monthly payment #4',3375
3257,'1996-11-07',29387,1840.19,'Order was shipped',3375
3257,'1997-01-19',87295,-460.05,'Monthly payment #1',3375
3257,'1997-02-28',15293,-460.05,'Monthly payment #2',3375
3257,'1997-04-02',89097,-460.05,'Monthly payment #3',3375
3258,'1996-08-30',89097,-850,'Monthly payment #2',3376
3258,'1996-05-17',29387,1700,'Order was shipped',3376
3258,'1996-07-31',46583,-850,'Monthly payment #1',3376
3259,'1997-05-31',46583,-220.32,'Monthly payment #5',3377
3259,'1997-09-22',87295,-220.3397,'Monthly payment #8',3377
3259,'1997-08-29',46583,-220.32,'Monthly payment #7',3377
3259,'1996-08-16',29387,1762.59,'Order was shipped',3377
3259,'1997-08-08',89097,-220.32,'Monthly payment #6',3377
3259,'1997-04-25',29387,-220.32,'Monthly payment #4',3377
3259,'1997-04-09',89097,-220.32,'Monthly payment #3',3377
3259,'1996-12-22',29387,-220.32,'Monthly payment #1',3377
3259,'1997-02-07',29387,-220.32,'Monthly payment #2',3377
3260,'1996-08-01',29387,-253,'Monthly payment #2',3378
3260,'1996-12-03',87295,-253,'Monthly payment #6',3378
3260,'1996-11-06',15293,-253,'Monthly payment #5',3378
3260,'1996-12-30',89097,-253,'Monthly payment #7',3378
3260,'1996-07-07',87295,-253,'Monthly payment #1',3378
3651,'1997-01-10',29387,2182.83,'Order was shipped',3769
3652,'1996-12-17',89097,-1134.32,'Monthly payment #1',3770
3652,'1997-01-14',34192,-1134.3,'Monthly payment #2',3770
3652,'1996-10-02',29387,2268.62,'Order was shipped',3770
3653,'1997-02-13',87295,-558.1099,'Monthly payment #4',3771
3653,'1997-01-14',46583,-558.09,'Monthly payment #3',3771
3653,'1996-12-17',87295,-558.09,'Monthly payment #2',3771
3653,'1996-09-02',87295,2232.39,'Order was shipped',3771
3653,'1996-11-19',34192,-558.09,'Monthly payment #1',3771
3654,'1996-07-31',51512,2644.36,'Order was shipped',3772
3654,'1997-03-16',51512,-528.8801,'Monthly payment #5',3772
3654,'1997-01-04',29387,-528.87,'Monthly payment #4',3772
3654,'1996-12-13',51512,-528.87,'Monthly payment #3',3772
3654,'1996-11-07',98766,-528.87,'Monthly payment #2',3772
3654,'1996-10-15',98766,-528.8999,'Monthly payment #1',3772
3655,'1997-01-05',46583,-393.22,'Monthly payment #1',3773
3655,'1997-03-08',34192,-393.22,'Monthly payment #3',3773
3655,'1997-04-03',34192,-393.22,'Monthly payment #4',3773
3655,'1997-05-01',29387,-393.22,'Monthly payment #5',3773
3655,'1997-06-09',98766,-393.2401,'Monthly payment #6',3773
3655,'1996-10-19',29387,2359.35,'Order was shipped',3773
3655,'1997-02-07',87295,-393.22,'Monthly payment #2',3773
3656,'1996-09-09',87295,-2327.8,'Single/final payment for purchase',3774
3656,'1996-08-09',51512,2327.8,'Order was shipped',3774
3657,'1996-07-30',15293,-426.36,'Monthly payment #4',3775
3657,'1996-08-25',46583,-426.36,'Monthly payment #5',3775
3657,'1996-09-29',29387,-426.3901,'Monthly payment #6',3775
3657,'2002-04-12',51512,3105.17,'Order was shipped',20902
3657,'2002-05-15',34192,-3105.17,'Single/final payment for purchase',20902
3657,'1996-06-01',89097,-426.36,'Monthly payment #2',3775
3657,'1996-02-10',87295,2558.19,'Order was shipped',3775
3657,'1996-06-26',89097,-426.36,'Monthly payment #3',3775
3657,'1996-04-16',87295,-426.36,'Monthly payment #1',3775
3658,'1996-12-05',34192,-409.2,'Monthly payment #4',3776
3658,'2003-12-10',34192,-2670,'Single/final payment for purchase',25236
3658,'1997-01-05',29387,-409.2,'Monthly payment #5',3776
3658,'1996-10-23',34192,-409.2,'Monthly payment #3',3776
3658,'1996-10-07',46583,-409.2,'Monthly payment #2',3776
3658,'1996-09-02',29387,-409.2,'Monthly payment #1',3776
3658,'1996-06-20',89097,2046,'Order was shipped',3776
3658,'2003-11-06',89097,2670,'Order was shipped',25236
3659,'1997-01-08',29387,2348.5,'Order was shipped',3777
3659,'1997-02-16',29387,-2348.5,'Single/final payment for purchase',3777
3660,'1997-03-03',89097,-1185.33,'Monthly payment #1',3778
3660,'1997-04-08',98766,-1185.33,'Monthly payment #2',3778
3660,'1996-12-23',15293,3556,'Order was shipped',3778
3660,'1997-05-10',29387,-1185.34,'Monthly payment #3',3778
3661,'1996-07-19',87295,-1148,'Monthly payment #2',3779
3661,'1996-06-17',34192,-1148,'Monthly payment #1',3779
3661,'1996-04-04',87295,2296,'Order was shipped',3779
3662,'1996-02-10',87295,1794.25,'Order was shipped',3780
3662,'1996-05-24',87295,-897.13,'Monthly payment #1',3780
3662,'1996-06-29',46583,-897.12,'Monthly payment #2',3780
3663,'1996-11-30',89097,1903.8,'Order was shipped',3781
3663,'1997-01-10',46583,-1903.79,'Single/final payment for purchase',3781
3663,'2003-01-05',87295,3822.39,'Order was shipped',21966
3663,'2003-02-04',34192,-3822.38,'Single/final payment for purchase',21966
3664,'1996-11-15',46583,-2337.19,'Single/final payment for purchase',3782
3664,'1996-09-28',51512,2337.19,'Order was shipped',3782
3664,'2003-01-10',15293,3190,'Order was shipped',22357
3664,'2003-02-10',34192,-3190,'Single/final payment for purchase',22357
3665,'1996-10-25',51512,2248.12,'Order was shipped',3783
3665,'1996-12-08',46583,-2248.12,'Single/final payment for purchase',3783
3666,'2003-12-30',29387,4784.5,'Order was shipped',24913
3666,'2004-03-05',87295,-1594.83,'Monthly payment #1',24913
3666,'2004-04-02',46583,-1594.83,'Monthly payment #2',24913
3666,'2004-05-04',51512,-1594.84,'Monthly payment #3',24913
3666,'1996-10-12',87295,-2023,'Single/final payment for purchase',3784
3666,'1996-09-11',51512,2023,'Order was shipped',3784
3667,'1996-08-14',51512,2354.42,'Order was shipped',3785
3667,'1996-11-05',46583,-1177.21,'Monthly payment #1',3785
3667,'1996-11-26',51512,-1177.2,'Monthly payment #2',3785
3668,'2002-04-18',89097,-835.53,'Monthly payment #2',20436
3668,'2002-07-20',51512,-835.5398,'Monthly payment #5',20436
3668,'2002-05-18',34192,-835.53,'Monthly payment #3',20436
3668,'2002-03-20',87295,-835.53,'Monthly payment #1',20436
3668,'2002-01-16',51512,4177.67,'Order was shipped',20436
3668,'1996-10-11',51512,-2719.08,'Single/final payment for purchase',3786
3668,'1996-08-24',89097,2719.08,'Order was shipped',3786
3668,'2002-06-20',29387,-835.53,'Monthly payment #4',20436
3669,'1997-01-09',29387,3325,'Order was shipped',3787
3669,'1997-02-22',51512,-3325,'Single/final payment for purchase',3787
3670,'1996-07-08',29387,2073.39,'Order was shipped',3788
3670,'1996-08-20',51512,-2073.38,'Single/final payment for purchase',3788
3671,'1997-01-13',34192,-461.02,'Monthly payment #4',3789
3671,'1996-09-19',46583,-461.02,'Monthly payment #1',3789
3671,'1996-10-20',15293,-461.02,'Monthly payment #2',3789
3671,'1996-07-01',87295,2305.1,'Order was shipped',3789
3671,'1996-12-10',89097,-461.02,'Monthly payment #3',3789
3671,'1997-05-18',89097,-461.0101,'Monthly payment #5',3789
3672,'1996-12-29',34192,-310.3,'Monthly payment #2',3790
3672,'1997-05-26',51512,-310.29,'Monthly payment #7',3790
3672,'1997-05-05',29387,-310.3,'Monthly payment #6',3790
3672,'1997-03-29',87295,-310.3,'Monthly payment #5',3790
3672,'1997-01-27',46583,-310.3,'Monthly payment #3',3790
3672,'1996-11-29',51512,-310.31,'Monthly payment #1',3790
3672,'1996-09-15',51512,2172.1,'Order was shipped',3790
3672,'1997-03-01',34192,-310.3,'Monthly payment #4',3790
3673,'1997-02-12',29387,-1384.25,'Monthly payment #2',3791
3673,'1996-10-05',87295,2768.5,'Order was shipped',3791
3673,'1996-12-20',98766,-1384.25,'Monthly payment #1',3791
3674,'1996-06-14',29387,-2651.87,'Single/final payment for purchase',3792
3674,'1996-04-30',51512,2651.87,'Order was shipped',3792
3675,'1996-12-26',51512,-438.7101,'Monthly payment #5',3793
3675,'2001-03-18',29387,-1027.05,'Monthly payment #2',18716
3675,'2000-12-04',29387,2054.12,'Order was shipped',18716
3675,'1996-11-22',87295,-438.71,'Monthly payment #4',3793
3675,'1996-10-17',34192,-438.71,'Monthly payment #3',3793
3675,'1996-09-19',34192,-438.71,'Monthly payment #2',3793
3675,'1996-08-26',98766,-438.71,'Monthly payment #1',3793
3675,'1996-04-08',87295,2193.55,'Order was shipped',3793
3675,'2001-02-16',51512,-1027.06,'Monthly payment #1',18716
3676,'1996-11-08',51512,2173.75,'Order was shipped',3794
3676,'1997-01-04',51512,-2173.75,'Single/final payment for purchase',3794
3677,'1996-12-02',15293,-228.61,'Monthly payment #4',3795
3677,'1997-01-10',29387,-228.61,'Monthly payment #5',3795
3677,'1997-01-27',51512,-228.61,'Monthly payment #6',3795
3677,'1997-03-25',98766,-228.63,'Monthly payment #8',3795
3677,'1996-10-06',34192,-228.61,'Monthly payment #2',3795
3677,'1996-08-29',51512,-228.61,'Monthly payment #1',3795
3677,'1996-05-19',51512,1828.9,'Order was shipped',3795
3677,'1996-10-31',89097,-228.61,'Monthly payment #3',3795
3677,'1997-03-02',46583,-228.61,'Monthly payment #7',3795
3678,'1999-01-09',29387,-601.73,'Monthly payment #2',8263
3678,'1999-04-11',29387,-601.71,'Monthly payment #5',8263
3678,'1999-02-20',89097,-601.73,'Monthly payment #3',8263
3678,'1998-12-04',34192,-601.73,'Monthly payment #1',8263
3678,'1998-09-24',87295,3008.64,'Order was shipped',8263
3678,'1996-03-09',98766,-3780.85,'Single/final payment for purchase',3796
3678,'1996-01-22',51512,3780.85,'Order was shipped',3796
3678,'1999-03-11',34192,-601.73,'Monthly payment #4',8263
3679,'1997-06-01',46583,-463.4,'Monthly payment #5',3797
3679,'1996-08-25',29387,2317,'Order was shipped',3797
3679,'1996-11-06',51512,-463.4,'Monthly payment #1',3797
3679,'1996-12-09',29387,-463.4,'Monthly payment #2',3797
3679,'1997-04-09',34192,-463.4,'Monthly payment #3',3797
3679,'1997-04-28',29387,-463.4,'Monthly payment #4',3797
3680,'1996-12-12',51512,-838,'Monthly payment #3',3798
3448,'1996-07-06',51512,-2322.5,'Single/final payment for purchase',3566
3448,'2001-10-22',15293,2524.37,'Order was shipped',20119
3448,'2001-11-26',51512,-2524.36,'Single/final payment for purchase',20119
3448,'1998-11-14',87295,2683.75,'Order was shipped',8394
3448,'1999-01-26',46583,-1341.88,'Monthly payment #1',8394
3449,'1997-01-27',89097,-416.3,'Monthly payment #7',3567
3449,'1999-02-03',98766,-1445.34,'Monthly payment #2',8678
3449,'1998-12-20',15293,-1445.33,'Monthly payment #1',8678
3449,'1997-03-02',46583,-416.2798,'Monthly payment #8',3567
3449,'1997-01-02',29387,-416.3,'Monthly payment #6',3567
3449,'1996-12-02',46583,-416.3,'Monthly payment #5',3567
3449,'1996-10-25',51512,-416.3,'Monthly payment #4',3567
3449,'1996-09-27',89097,-416.3,'Monthly payment #3',3567
3449,'1996-08-29',98766,-416.3,'Monthly payment #2',3567
3449,'1996-07-29',46583,-416.3,'Monthly payment #1',3567
3449,'1996-05-16',29387,3330.39,'Order was shipped',3567
3449,'1998-09-19',51512,2890.67,'Order was shipped',8678
3450,'1996-08-25',46583,-328.75,'Monthly payment #6',3568
3450,'1996-01-16',15293,2301.25,'Order was shipped',3568
3450,'1996-03-27',34192,-328.75,'Monthly payment #1',3568
3450,'1996-04-26',34192,-328.75,'Monthly payment #2',3568
3450,'1996-06-04',89097,-328.75,'Monthly payment #3',3568
3450,'1996-06-27',15293,-328.75,'Monthly payment #4',3568
3450,'1996-08-01',34192,-328.75,'Monthly payment #5',3568
3450,'1996-10-05',29387,-328.75,'Monthly payment #7',3568
3451,'1996-09-05',15293,2311.53,'Order was shipped',3569
3451,'1996-10-22',29387,-2311.52,'Single/final payment for purchase',3569
3452,'1996-09-23',15293,2253.6,'Order was shipped',3570
3452,'1996-12-05',98766,-1126.81,'Monthly payment #1',3570
3452,'1997-01-08',46583,-1126.79,'Monthly payment #2',3570
3453,'1996-12-03',29387,1723.59,'Order was shipped',3571
3453,'1997-01-19',46583,-1723.58,'Single/final payment for purchase',3571
3454,'1996-03-17',87295,1781.5,'Order was shipped',3572
3454,'1996-08-08',89097,-593.83,'Monthly payment #1',3572
3454,'1996-10-21',34192,-593.83,'Monthly payment #2',3572
3454,'1996-11-20',34192,-593.84,'Monthly payment #3',3572
3455,'1996-07-14',34192,-2250.76,'Single/final payment for purchase',3573
3455,'1996-05-29',15293,2250.76,'Order was shipped',3573
3456,'1996-12-15',34192,-1723.58,'Single/final payment for purchase',3574
3456,'1996-11-03',51512,1723.59,'Order was shipped',3574
3457,'1996-09-03',87295,2097.03,'Order was shipped',3575
3457,'1996-10-18',34192,-2097.02,'Single/final payment for purchase',3575
3458,'1996-07-19',89097,1780.63,'Order was shipped',3576
3458,'1996-10-05',87295,-890.32,'Monthly payment #1',3576
3458,'1996-11-02',46583,-890.31,'Monthly payment #2',3576
3459,'1996-10-24',87295,1750,'Order was shipped',3577
3459,'1996-12-13',46583,-1750,'Single/final payment for purchase',3577
3460,'1996-08-19',87295,-576.33,'Monthly payment #1',3578
3460,'1996-03-14',15293,1729,'Order was shipped',3578
3460,'1996-09-29',51512,-576.33,'Monthly payment #2',3578
3460,'1996-10-27',46583,-576.34,'Monthly payment #3',3578
3461,'2003-06-29',51512,-379.15,'Monthly payment #6',21853
3461,'2003-05-27',46583,-379.13,'Monthly payment #5',21853
3461,'2003-04-28',15293,-379.13,'Monthly payment #4',21853
3461,'2003-03-27',46583,-379.13,'Monthly payment #3',21853
3461,'2003-02-28',87295,-379.13,'Monthly payment #2',21853
3461,'2003-01-27',15293,-379.13,'Monthly payment #1',21853
3461,'2002-11-26',51512,2274.8,'Order was shipped',21853
3461,'1996-06-29',46583,-1787.19,'Single/final payment for purchase',3579
3461,'1996-05-18',87295,1787.19,'Order was shipped',3579
3462,'1996-04-21',51512,1708,'Order was shipped',3580
3462,'1996-06-04',46583,-1708,'Single/final payment for purchase',3580
3463,'1996-09-15',89097,2272.55,'Order was shipped',3581
3463,'1996-10-21',46583,-2272.55,'Single/final payment for purchase',3581
3464,'1997-04-12',29387,-702.58,'Monthly payment #2',3582
3464,'1997-05-07',87295,-702.59,'Monthly payment #3',3582
3464,'1997-03-11',29387,-702.58,'Monthly payment #1',3582
3464,'1996-12-27',51512,2107.75,'Order was shipped',3582
3465,'1996-06-19',87295,-276.25,'Monthly payment #1',3583
3465,'1996-12-28',46583,-276.25,'Monthly payment #7',3583
3465,'1996-11-13',46583,-276.25,'Monthly payment #6',3583
3465,'1996-11-02',89097,-276.25,'Monthly payment #5',3583
3465,'1996-09-27',98766,-276.25,'Monthly payment #4',3583
3465,'1996-04-10',89097,1933.75,'Order was shipped',3583
3465,'1996-07-27',46583,-276.25,'Monthly payment #2',3583
3465,'1996-08-31',51512,-276.25,'Monthly payment #3',3583
3466,'1997-04-30',29387,-456.8201,'Monthly payment #4',3584
3466,'1996-10-17',87295,1827.25,'Order was shipped',3584
3466,'1996-12-27',89097,-456.81,'Monthly payment #1',3584
3466,'1997-03-31',51512,-456.81,'Monthly payment #3',3584
3466,'1997-03-02',98766,-456.81,'Monthly payment #2',3584
3467,'1996-08-04',29387,-2222.69,'Single/final payment for purchase',3585
3467,'1996-06-17',29387,2222.69,'Order was shipped',3585
3468,'1996-05-15',51512,-959,'Monthly payment #2',3586
3468,'1996-04-16',51512,-959,'Monthly payment #1',3586
3468,'1996-01-30',29387,1918,'Order was shipped',3586
3469,'1997-04-09',15293,-906.25,'Monthly payment #2',3587
3469,'1997-03-10',29387,-906.29,'Monthly payment #1',3587
3469,'1996-12-20',51512,1812.5,'Order was shipped',3587
3469,'1998-11-01',87295,-3076.86,'Single/final payment for purchase',8607
3469,'1998-08-28',89097,3076.87,'Order was shipped',8607
3470,'1996-11-07',29387,1928.5,'Order was shipped',3588
3470,'2004-01-16',51512,-3566.5,'Single/final payment for purchase',25008
3470,'2003-12-13',29387,3566.5,'Order was shipped',25008
3470,'1996-12-23',15293,-1928.5,'Single/final payment for purchase',3588
3471,'1997-01-12',29387,2221.8,'Order was shipped',3589
3471,'1997-03-31',89097,-444.36,'Monthly payment #1',3589
3471,'1997-04-24',46583,-444.36,'Monthly payment #2',3589
3471,'1997-05-30',87295,-444.36,'Monthly payment #3',3589
3471,'1997-06-28',15293,-444.36,'Monthly payment #4',3589
3471,'1997-07-27',29387,-444.3601,'Monthly payment #5',3589
3471,'1998-02-27',51512,2391.39,'Order was shipped',8356
3471,'2003-04-12',51512,-989,'Monthly payment #1',22398
3471,'2003-02-12',29387,1978,'Order was shipped',22398
3471,'2003-05-15',87295,-989,'Monthly payment #2',22398
3471,'1998-04-08',98766,-2391.38,'Single/final payment for purchase',8356
3472,'1996-07-21',89097,-257.85,'Monthly payment #3',3590
3472,'1996-06-21',89097,-257.85,'Monthly payment #2',3590
3472,'1996-05-25',34192,-257.85,'Monthly payment #1',3590
3472,'1996-10-01',51512,-257.85,'Monthly payment #5',3590
3472,'1996-10-19',51512,-257.85,'Monthly payment #6',3590
3472,'1996-11-22',51512,-257.85,'Monthly payment #7',3590
3472,'1996-03-11',29387,2062.8,'Order was shipped',3590
3472,'1996-12-25',51512,-257.8501,'Monthly payment #8',3590
3472,'1996-08-29',89097,-257.85,'Monthly payment #4',3590
3473,'1996-08-26',29387,-1049.47,'Monthly payment #2',3591
3473,'1996-07-20',51512,-1049.47,'Monthly payment #1',3591
3473,'1996-05-04',15293,2098.94,'Order was shipped',3591
3474,'1996-12-03',29387,-1708,'Single/final payment for purchase',3592
3474,'1996-10-18',29387,1708,'Order was shipped',3592
3475,'1997-06-27',46583,-503.42,'Monthly payment #1',3593
3475,'1997-08-18',51512,-503.42,'Monthly payment #2',3593
3475,'1997-01-08',89097,2013.69,'Order was shipped',3593
3475,'1997-09-18',46583,-503.42,'Monthly payment #3',3593
3475,'1997-10-19',89097,-503.4299,'Monthly payment #4',3593
3476,'2002-04-16',89097,4946.87,'Order was shipped',20654
3476,'1996-07-08',87295,-296.77,'Monthly payment #1',3594
3476,'1996-04-18',87295,1780.63,'Order was shipped',3594
3476,'2002-05-21',87295,-4946.86,'Single/final payment for purchase',20654
3476,'1996-12-05',29387,-296.77,'Monthly payment #4',3594
3476,'1996-07-29',46583,-296.77,'Monthly payment #2',3594
3476,'1996-08-26',34192,-296.77,'Monthly payment #3',3594
3476,'1997-01-05',51512,-296.77,'Monthly payment #5',3594
3476,'1997-01-31',34192,-296.78,'Monthly payment #6',3594
3477,'1997-03-24',89097,-930.12,'Monthly payment #2',3595
3477,'1997-03-06',51512,-930.13,'Monthly payment #1',3595
3477,'1996-12-13',87295,1860.25,'Order was shipped',3595
3478,'1996-12-11',89097,-1946.86,'Single/final payment for purchase',3596
3478,'1996-10-24',89097,1946.87,'Order was shipped',3596
3479,'1996-02-25',29387,2146.75,'Order was shipped',3597
3479,'1996-04-04',89097,-2146.75,'Single/final payment for purchase',3597
3480,'1997-01-25',89097,-1776.58,'Single/final payment for purchase',3598
3480,'1996-12-06',51512,1776.59,'Order was shipped',3598
3481,'1996-05-04',51512,1828.9,'Order was shipped',3599
3481,'2003-01-02',89097,2279.35,'Order was shipped',22012
3481,'2003-03-07',34192,-455.87,'Monthly payment #1',22012
3481,'2003-07-04',34192,-455.8601,'Monthly payment #5',22012
3481,'2003-06-01',98766,-455.87,'Monthly payment #4',22012
3481,'2003-05-02',34192,-455.87,'Monthly payment #3',22012
3481,'2003-04-02',34192,-455.87,'Monthly payment #2',22012
3481,'1996-06-18',89097,-1828.9,'Single/final payment for purchase',3599
3482,'1996-07-23',46583,-1033.75,'Monthly payment #2',3600
3482,'1996-04-02',87295,2067.5,'Order was shipped',3600
3482,'1996-06-08',89097,-1033.75,'Monthly payment #1',3600
3483,'1997-01-14',46583,-2337.63,'Single/final payment for purchase',3601
3483,'1996-11-20',51512,2337.64,'Order was shipped',3601
3484,'2004-08-27',51512,-839.2998,'Monthly payment #6',25171
3484,'2003-02-21',87295,3705.78,'Order was shipped',22910
3484,'2003-03-25',34192,-3705.76,'Single/final payment for purchase',22910
3484,'2004-04-27',89097,-839.27,'Monthly payment #2',25171
3484,'2004-05-30',98766,-839.27,'Monthly payment #3',25171
3484,'2004-06-29',98766,-839.27,'Monthly payment #4',25171
3484,'2004-07-29',29387,-839.27,'Monthly payment #5',25171
3484,'2004-03-30',46583,-839.29,'Monthly payment #1',25171
3484,'1996-07-17',46583,-1807.44,'Single/final payment for purchase',3602
3484,'2004-01-27',51512,5035.67,'Order was shipped',25171
3484,'1996-05-31',87295,1807.44,'Order was shipped',3602
3485,'1997-03-08',29387,-756.2101,'Monthly payment #3',3603
3485,'1997-02-10',89097,-756.2,'Monthly payment #2',3603
3485,'1996-10-25',29387,2268.62,'Order was shipped',3603
3485,'1996-12-30',89097,-756.2,'Monthly payment #1',3603
3486,'1998-02-28',98766,-3016.8,'Single/final payment for purchase',8493
3486,'1996-09-30',15293,-444.5,'Monthly payment #4',3604
3486,'1996-10-18',15293,-444.5,'Monthly payment #5',3604
3486,'1998-01-24',29387,3016.8,'Order was shipped',8493
3486,'1996-08-23',15293,-444.5,'Monthly payment #3',3604
3486,'1996-04-05',87295,2667,'Order was shipped',3604
3486,'1996-07-23',87295,-444.5,'Monthly payment #2',3604
3486,'1996-11-20',34192,-444.5,'Monthly payment #6',3604
3486,'1996-06-26',87295,-444.5,'Monthly payment #1',3604
3487,'1997-01-12',34192,-2161.37,'Single/final payment for purchase',3605
3487,'1996-12-02',89097,2161.37,'Order was shipped',3605
3488,'1996-09-15',34192,-1743.09,'Single/final payment for purchase',3606
3488,'1996-07-31',29387,1743.09,'Order was shipped',3606
3488,'1998-07-24',89097,2375.87,'Order was shipped',8706
3488,'1998-09-13',98766,-2375.86,'Single/final payment for purchase',8706
3489,'1997-07-30',34192,-470.8799,'Monthly payment #5',3607
3489,'1996-10-09',51512,2354.42,'Order was shipped',3607
3489,'1997-03-27',98766,-470.88,'Monthly payment #4',3607
3489,'1997-02-26',98766,-470.88,'Monthly payment #3',3607
3489,'1997-01-21',29387,-470.89,'Monthly payment #2',3607
3489,'1997-01-01',98766,-470.88,'Monthly payment #1',3607
3490,'2004-01-27',51512,-4060,'Single/final payment for purchase',25197
3490,'1996-05-02',51512,1834,'Order was shipped',3608
3490,'1996-06-08',34192,-1834,'Single/final payment for purchase',3608
3490,'2003-12-28',87295,4060,'Order was shipped',25197
3491,'2001-11-15',87295,4616.14,'Order was shipped',19945
3491,'1996-08-04',29387,1806,'Order was shipped',3609
3491,'1996-11-09',46583,-903,'Monthly payment #2',3609
3491,'2002-01-15',34192,-2308.07,'Monthly payment #1',19945
3491,'2002-02-18',34192,-2308.07,'Monthly payment #2',19945
3491,'1996-11-01',87295,-903,'Monthly payment #1',3609
3492,'1996-12-07',89097,2034.59,'Order was shipped',3610
3492,'1997-01-22',46583,-2034.58,'Single/final payment for purchase',3610
3493,'1996-09-14',29387,1796.72,'Order was shipped',3611
3493,'1996-10-30',46583,-1796.72,'Single/final payment for purchase',3611
3494,'1996-05-02',89097,2275,'Order was shipped',3612
3494,'1996-06-25',46583,-2275,'Single/final payment for purchase',3612
3494,'2004-12-19',15293,4711,'Order was shipped',28046
3494,'2005-01-20',34192,-4711,'Single/final payment for purchase',28046
3495,'1996-12-07',34192,-454.75,'Monthly payment #2',3613
3495,'1997-01-04',15293,-454.75,'Monthly payment #3',3613
3495,'1996-11-08',46583,-454.75,'Monthly payment #1',3613
3495,'1996-08-25',15293,1819,'Order was shipped',3613
3495,'1997-02-08',46583,-454.75,'Monthly payment #4',3613
3496,'1996-10-07',15293,1808.4,'Order was shipped',3614
3496,'1997-02-13',98766,-452.1,'Monthly payment #1',3614
3496,'1997-03-19',89097,-452.1,'Monthly payment #2',3614
3496,'1997-04-19',29387,-452.1,'Monthly payment #3',3614
3496,'1997-05-19',89097,-452.1,'Monthly payment #4',3614
3497,'1996-11-12',89097,1770,'Order was shipped',3615
3497,'1998-06-15',87295,-2651.86,'Single/final payment for purchase',8723
3497,'1996-12-27',89097,-1770.04,'Single/final payment for purchase',3615
3497,'1998-04-18',29387,2651.87,'Order was shipped',8723
3498,'1998-07-20',46583,-1129.27,'Monthly payment #1',8277
3498,'1996-09-28',51512,3610.39,'Order was shipped',3616
3498,'1996-12-10',34192,-601.73,'Monthly payment #1',3616
3498,'1997-01-05',46583,-601.73,'Monthly payment #2',3616
3498,'1997-04-12',87295,-601.73,'Monthly payment #3',3616
3498,'1997-05-14',46583,-601.73,'Monthly payment #4',3616
3498,'1997-06-13',89097,-601.73,'Monthly payment #5',3616
3498,'1998-02-27',15293,3387.8,'Order was shipped',8277
3498,'1998-08-15',87295,-1129.27,'Monthly payment #2',8277
3498,'1998-09-05',89097,-1129.26,'Monthly payment #3',8277
3498,'1997-07-14',34192,-601.73,'Monthly payment #6',3616
3499,'1996-02-05',29387,1807.44,'Order was shipped',3617
3499,'1996-03-19',34192,-1807.45,'Single/final payment for purchase',3617
3499,'2003-12-28',89097,4928.42,'Order was shipped',25019
